TARGET_CLASS,attempt,criterion,Coverage,Total_Goals,BranchCoverage,LineCoverage,CBranchCoverage,Covered_Goals,Tests_Executed
edu.stanford.nlp.pipeline.StanfordCoreNLP,1,BRANCH;LINE;CBRANCH,0.44893617021276594,1410,0.41361256544502617,0.49226006191950467,0.4109947643979058,633,82
edu.stanford.nlp.pipeline.StanfordCoreNLP,4,BRANCH;LINE;CBRANCH,0.40709219858156026,1410,0.418848167539267,0.3993808049535604,0.4083769633507853,574,95
edu.stanford.nlp.pipeline.StanfordCoreNLP,3,BRANCH;LINE;CBRANCH,0.4879432624113475,1410,0.450261780104712,0.5356037151702786,0.44502617801047123,688,94
edu.stanford.nlp.pipeline.StanfordCoreNLP,2,BRANCH;LINE;CBRANCH,0.4595744680851064,1410,0.42408376963350786,0.5046439628482973,0.418848167539267,648,96
edu.stanford.nlp.pipeline.StanfordCoreNLP,5,BRANCH;LINE;CBRANCH,0.40921985815602835,1410,0.4162303664921466,0.40092879256965946,0.4162303664921466,577,101
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,4,BRANCH;LINE;CBRANCH,0.3839835728952772,487,0.30405405405405406,0.5078534031413613,0.30405405405405406,187,17
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,3,BRANCH;LINE;CBRANCH,0.27720739219712526,487,0.22972972972972974,0.3507853403141361,0.22972972972972974,135,10
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,2,BRANCH;LINE;CBRANCH,0.2936344969199179,487,0.24324324324324326,0.3717277486910995,0.24324324324324326,143,17
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,5,BRANCH;LINE;CBRANCH,0.3942505133470226,487,0.32432432432432434,0.5026178010471204,0.32432432432432434,192,17
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,1,BRANCH;LINE;CBRANCH,0.30184804928131415,487,0.25,0.38219895287958117,0.25,147,17
edu.stanford.nlp.pipeline.TokenizerAnnotator,1,BRANCH;LINE;CBRANCH,0.7099056603773585,424,0.6942148760330579,0.7307692307692307,0.6942148760330579,301,50
edu.stanford.nlp.pipeline.TokenizerAnnotator,4,BRANCH;LINE;CBRANCH,0.7547169811320755,424,0.743801652892562,0.7692307692307693,0.743801652892562,320,54
edu.stanford.nlp.pipeline.TokenizerAnnotator,3,BRANCH;LINE;CBRANCH,0.7099056603773585,424,0.6942148760330579,0.7307692307692307,0.6942148760330579,301,42
edu.stanford.nlp.pipeline.TokenizerAnnotator,2,BRANCH;LINE;CBRANCH,0.7735849056603774,424,0.768595041322314,0.7802197802197802,0.768595041322314,328,60
edu.stanford.nlp.pipeline.TokenizerAnnotator,5,BRANCH;LINE;CBRANCH,0.7193396226415094,424,0.7107438016528925,0.7362637362637363,0.7024793388429752,305,50
edu.stanford.nlp.pipeline.CoreDocument,1,BRANCH;LINE;CBRANCH,0.7912087912087912,91,0.7407407407407407,0.8648648648648649,0.7407407407407407,72,19
edu.stanford.nlp.pipeline.CoreDocument,3,BRANCH;LINE;CBRANCH,0.7912087912087912,91,0.7407407407407407,0.8648648648648649,0.7407407407407407,72,24
edu.stanford.nlp.pipeline.CoreDocument,4,BRANCH;LINE;CBRANCH,0.7912087912087912,91,0.7407407407407407,0.8648648648648649,0.7407407407407407,72,20
edu.stanford.nlp.pipeline.CoreDocument,5,BRANCH;LINE;CBRANCH,0.7912087912087912,91,0.7407407407407407,0.8648648648648649,0.7407407407407407,72,20
edu.stanford.nlp.pipeline.CoreDocument,2,BRANCH;LINE;CBRANCH,0.7362637362637363,91,0.7407407407407407,0.8648648648648649,0.5555555555555556,67,20
edu.stanford.nlp.pipeline.SentimentAnnotator,2,BRANCH;LINE;CBRANCH,0.16666666666666666,102,0.08333333333333333,0.24074074074074073,0.08333333333333333,17,3
edu.stanford.nlp.pipeline.SentimentAnnotator,5,BRANCH;LINE;CBRANCH,0.16666666666666666,102,0.08333333333333333,0.24074074074074073,0.08333333333333333,17,4
edu.stanford.nlp.pipeline.SentimentAnnotator,4,BRANCH;LINE;CBRANCH,0.16666666666666666,102,0.08333333333333333,0.24074074074074073,0.08333333333333333,17,4
edu.stanford.nlp.pipeline.SentimentAnnotator,3,BRANCH;LINE;CBRANCH,0.16666666666666666,102,0.08333333333333333,0.24074074074074073,0.08333333333333333,17,5
edu.stanford.nlp.pipeline.SentimentAnnotator,1,BRANCH;LINE;CBRANCH,0.16666666666666666,102,0.08333333333333333,0.24074074074074073,0.08333333333333333,17,4
