class,mutationScore
cc.mallet.classify.MaxEnt,71.22302
cc.mallet.classify.MaxEntOptimizableByLabelDistribution,92.46575
cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,94.520546
cc.mallet.classify.NaiveBayesTrainer,88.6076
cc.mallet.cluster.KMeans,91.20879
cc.mallet.fst.CRF,81.871346
cc.mallet.fst.HMM,55.932205
cc.mallet.fst.SumLatticeBeam,46.153847
cc.mallet.topics.LDAHyper,49.53271
cc.mallet.topics.ParallelTopicModel,52.44755
cc.mallet.topics.TopicalNGrams,16.923077
cc.mallet.types.AugmentableFeatureVector,81.71429
cc.mallet.types.SparseVector,81.69014
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,18.554216
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,6.7213115
edu.stanford.nlp.parser.lexparser.LexicalizedParser,0.0
edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,11.428572
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,3.2786884
edu.stanford.nlp.pipeline.CoreDocument,69.565216
edu.stanford.nlp.pipeline.CorefAnnotator,3.7735848
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,23.529411
edu.stanford.nlp.pipeline.GenderAnnotator,0.0
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,100.0
edu.stanford.nlp.pipeline.MorphaAnnotator,17.391304
edu.stanford.nlp.pipeline.NERCombinerAnnotator,30.714285
edu.stanford.nlp.pipeline.POSTaggerAnnotator,38.46154
edu.stanford.nlp.pipeline.ParserAnnotator,8.139535
edu.stanford.nlp.pipeline.QuoteAnnotator,10.416666
edu.stanford.nlp.pipeline.SentimentAnnotator,6.25
edu.stanford.nlp.pipeline.TokenizerAnnotator,67.21311
edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,47.972973
edu.stanford.nlp.pipeline.WikidictAnnotator,5.7971015
edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,73.4375
edu.stanford.nlp.process.PTBTokenizer,38.59649
opennlp.tools.parser.Parse,91
opennlp.tools.ml.maxent.GISTrainer,11
opennlp.tools.ngram.NGramModel,76
opennlp.tools.chunker.ChunkerME,67
opennlp.tools.formats.Conll03NameSampleStream,83
opennlp.tools.langdetect.LanguageDetectorME,36
opennlp.tools.postag.POSTaggerFactory,67
opennlp.tools.postag.POSTaggerME,69
gate.corpora.SerialCorpusImpl,79
gate.corpora.CorpusImpl,43
gate.corpora.DocumentImpl,61
gate.corpora.DocumentStaxUtils,48
gate.annotation.AnnotationSetImpl,92
gate.annotation.AnnotationImpl,100
edu.illinois.cs.cogcomp.comma.datastructures.Comma,52
edu.illinois.cs.cogcomp.ner.ClassifiersAndUtils.MemoryEfficientNB,100
edu.illinois.cs.cogcomp.ner.NERAnnotator,14
