class,mutationScore
cc.mallet.classify.MaxEnt,72.66187
cc.mallet.classify.MaxEntOptimizableByLabelDistribution,92.46575
cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,95.20548
cc.mallet.classify.NaiveBayes,85.71429
cc.mallet.classify.NaiveBayesTrainer,88.6076
cc.mallet.cluster.KMeans,74.72527
cc.mallet.fst.CRF,92.39766
cc.mallet.fst.HMM,61.58192
cc.mallet.fst.SumLatticeBeam,46.153847
cc.mallet.topics.LDAHyper,0.0
cc.mallet.topics.ParallelTopicModel,51.748253
cc.mallet.topics.TopicalNGrams,16.923077
cc.mallet.types.AugmentableFeatureVector,94.85715
cc.mallet.types.SparseVector,92.253525
edu.stanford.nlp.dcoref.Mention,35.209005
edu.stanford.nlp.ie.NERFeatureFactory,45.038166
edu.stanford.nlp.ling.CoreLabel,98.23009
edu.stanford.nlp.parser.lexparser.ChineseTreebankParserParams,78.795812
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,24.096386
edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,35.737705
edu.stanford.nlp.parser.lexparser.LexicalizedParser,80.14706
edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,11.428572
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,3.2786884
edu.stanford.nlp.pipeline.CoreDocument,60.869564
edu.stanford.nlp.pipeline.CorefAnnotator,11.320755
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,17.647058
edu.stanford.nlp.pipeline.GenderAnnotator,12.5
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,100.0
edu.stanford.nlp.pipeline.MorphaAnnotator,21.73913
edu.stanford.nlp.pipeline.NERCombinerAnnotator,30.000002
edu.stanford.nlp.pipeline.POSTaggerAnnotator,69.230774
edu.stanford.nlp.pipeline.ParserAnnotator,6.9767447
edu.stanford.nlp.pipeline.QuoteAnnotator,10.416666
edu.stanford.nlp.pipeline.SentimentAnnotator,6.25
edu.stanford.nlp.pipeline.StanfordCoreNLP,38.297874
edu.stanford.nlp.pipeline.TokenizerAnnotator,67.21311
edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,47.972973
edu.stanford.nlp.pipeline.WikidictAnnotator,7.2463765
edu.stanford.nlp.process.Morphology,38.57143
edu.stanford.nlp.process.PTBTokenizer,37.7193
edu.stanford.nlp.process.WordToSentenceProcessor,79.06977
edu.stanford.nlp.sentiment.SentimentPipeline,30.985916
opennlp.tools.parser.Parse,94
opennlp.tools.ml.maxent.GISTrainer,13
opennlp.tools.ngram.NGramModel,82
opennlp.tools.chunker.ChunkerME,58
opennlp.tools.formats.Conll03NameSampleStream,59
opennlp.tools.langdetect.LanguageDetectorME,47
opennlp.tools.postag.POSTaggerFactory,62
opennlp.tools.postag.POSTaggerME,73
gate.corpora.SerialCorpusImpl,83
gate.corpora.CorpusImpl,44
gate.corpora.DocumentImpl,62
gate.corpora.DocumentStaxUtils,48
gate.annotation.AnnotationSetImpl,90
gate.annotation.AnnotationImpl,99
edu.illinois.cs.cogcomp.comma.datastructures.Comma,62
edu.illinois.cs.cogcomp.ner.ClassifiersAndUtils.MemoryEfficientNB,100
edu.illinois.cs.cogcomp.ner.NERAnnotator,14
