class,mutationScore
cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,0.0
cc.mallet.classify.NaiveBayes,0.0
cc.mallet.classify.NaiveBayesTrainer,0.0
cc.mallet.cluster.KMeans,52.747257
cc.mallet.topics.LDAHyper,72.42991
cc.mallet.topics.ParallelTopicModel,73.07692
edu.stanford.nlp.coref.data.Mention,38.526913
edu.stanford.nlp.dcoref.Mention,31.993568500000002
edu.stanford.nlp.ie.NERFeatureFactory,1.5267175
edu.stanford.nlp.ling.CoreLabel,86.283185
edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,33.25301
edu.stanford.nlp.parser.lexparser.LexicalizedParser,3.6764708
edu.stanford.nlp.parser.lexparser.SplittingGrammarExtractor,64.126395
edu.stanford.nlp.pipeline.ArabicSegmenterAnnotator,20.0
edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,3.2786884
edu.stanford.nlp.pipeline.CoreDocument,91.30435
edu.stanford.nlp.pipeline.CoreSentence,97.05882
edu.stanford.nlp.pipeline.CorefAnnotator,20.754717
edu.stanford.nlp.pipeline.EntityMentionsAnnotator,74.78992
edu.stanford.nlp.pipeline.JSONOutputter,71.42857
edu.stanford.nlp.pipeline.KBPAnnotator,8.87574
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,98.94737
edu.stanford.nlp.pipeline.MorphaAnnotator,95.652176
edu.stanford.nlp.pipeline.NERCombinerAnnotator,75.71429
edu.stanford.nlp.pipeline.POSTaggerAnnotator,11.538462
edu.stanford.nlp.pipeline.ParserAnnotator,15.116279
edu.stanford.nlp.pipeline.ProtobufAnnotationSerializer,0.16129032
edu.stanford.nlp.pipeline.QuoteAnnotator,4.861111
edu.stanford.nlp.pipeline.QuoteAttributionAnnotator,6.410257
edu.stanford.nlp.pipeline.TokenizerAnnotator,91.803276
edu.stanford.nlp.pipeline.TokensRegexNERAnnotator,72.2973
edu.stanford.nlp.pipeline.WikidictAnnotator,8.695652
edu.stanford.nlp.process.Morphology,71.42857
edu.stanford.nlp.process.PTBTokenizer,13.157895
edu.stanford.nlp.process.Stemmer,93.650795
edu.stanford.nlp.process.WordToSentenceProcessor,75.1938
edu.stanford.nlp.sentiment.SentimentModel,5.191257
opennlp.tools.parser.Parse,59
opennlp.tools.ml.maxent.GISTrainer,0
opennlp.tools.ngram.NGramModel,95
opennlp.tools.chunker.ChunkerME,0
opennlp.tools.formats.Conll03NameSampleStream,85
opennlp.tools.langdetect.LanguageDetectorME,27
opennlp.tools.postag.POSTaggerFactory,52
opennlp.tools.postag.POSTaggerME,0
gate.corpora.SerialCorpusImpl,12
gate.corpora.CorpusImpl,2
gate.corpora.DocumentImpl,46
gate.corpora.DocumentStaxUtils,72
gate.annotation.AnnotationSetImpl,97
gate.annotation.AnnotationImpl,84
edu.illinois.cs.cogcomp.comma.datastructures.Comma,0
edu.illinois.cs.cogcomp.ner.ClassifiersAndUtils.MemoryEfficientNB,52
edu.illinois.cs.cogcomp.ner.NERAnnotator,38
